Flag,Duration,protocol,src_ip,src_port,dst_ip,dst_port,Predicted_Value,Real_Value
None,1998,ARP,10.0.0.1,0,10.0.143.205,0,Brute Force
None,315285,IPv6,fe80::b220:4557:c313:5c5e,65246,ff02::1:3,5355,BENIGN
None,322401,UDP,10.0.127.191,137,10.0.255.255,137,BENIGN
None,315645,UDP,10.0.127.191,65246,224.0.0.252,5355,BENIGN
None,13195,UDP,10.0.143.170,50582,10.0.0.1,53,BENIGN
None,41821,UDP,10.0.143.170,59192,10.0.0.1,53,BENIGN
[<Flag 18 (SA)>],10633,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 16 (A)>],10741,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 16 (A)>],11797,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 24 (PA)>],11797,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 16 (A)>],23710,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 16 (A)>],23710,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 16 (A)>],148368,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 24 (PA)>],148368,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 16 (A)>],148507,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 24 (PA)>],149138,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 24 (PA)>],149651,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 24 (PA)>],150082,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 24 (PA)>],150174,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 16 (A)>],158923,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 24 (PA)>],158923,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 24 (PA)>],159311,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 24 (PA)>],159313,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 16 (A)>],160694,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 16 (A)>],173977,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 16 (A)>],207666,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 18 (SA)>],288228,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
[<Flag 16 (A)>],288365,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
[<Flag 16 (A)>],288929,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
[<Flag 24 (PA)>],288929,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
None,305400,ARP,10.0.0.1,0,10.0.129.160,0,BENIGN
None,1234251,UDP,10.0.127.191,137,10.0.255.255,137,BENIGN
None,926419,ARP,10.0.0.1,0,10.0.138.132,0,BENIGN
[<Flag 24 (PA)>],524173,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 24 (PA)>],524173,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 24 (PA)>],524173,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 24 (PA)>],524173,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 18 (SA)>],385646,TCP,10.0.143.170,65366,54.235.126.25,443,BENIGN
[<Flag 24 (PA)>],524173,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 18 (SA)>],335546,TCP,10.0.143.170,65367,54.235.126.25,443,BENIGN
[<Flag 16 (A)>],583604,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
[<Flag 16 (A)>],583604,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
[<Flag 16 (A)>],583604,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
[<Flag 16 (A)>],583604,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
[<Flag 16 (A)>],583604,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
[<Flag 16 (A)>],583604,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
[<Flag 24 (PA)>],583604,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
[<Flag 16 (A)>],524370,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 16 (A)>],524655,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 16 (A)>],386401,TCP,10.0.143.170,65366,54.235.126.25,443,BENIGN
[<Flag 16 (A)>],336367,TCP,10.0.143.170,65367,54.235.126.25,443,BENIGN
[<Flag 16 (A)>],584461,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
[<Flag 24 (PA)>],586380,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
[<Flag 16 (A)>],389940,TCP,10.0.143.170,65366,54.235.126.25,443,BENIGN
[<Flag 24 (PA)>],389940,TCP,10.0.143.170,65366,54.235.126.25,443,BENIGN
[<Flag 16 (A)>],340507,TCP,10.0.143.170,65367,54.235.126.25,443,BENIGN
[<Flag 24 (PA)>],340507,TCP,10.0.143.170,65367,54.235.126.25,443,BENIGN
[<Flag 24 (PA)>],529407,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
[<Flag 17 (FA)>],391359,TCP,10.0.143.170,65366,54.235.126.25,443,BENIGN
[<Flag 24 (PA)>],589500,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
[<Flag 24 (PA)>],589739,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
[<Flag 24 (PA)>],589814,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
[<Flag 24 (PA)>],589861,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
[<Flag 24 (PA)>],589905,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
[<Flag 16 (A)>],539610,TCP,10.0.143.170,65365,216.58.223.74,443,BENIGN
None,14830,UDP,10.0.143.170,63736,10.0.0.1,53,BENIGN
None,18073,UDP,10.0.143.170,58605,10.0.0.1,53,BENIGN
None,1534721,UDP,10.0.127.191,137,10.0.255.255,137,BENIGN
None,609982,ARP,10.0.0.1,0,10.0.129.160,0,BENIGN
None,884,UDP,10.0.141.69,56523,239.255.255.250,1900,BENIGN
None,923652,ARP,10.0.148.179,0,10.0.0.1,0,BENIGN
None,4067,UDP,10.0.127.50,51929,239.255.255.250,1900,BENIGN
[<Flag 18 (SA)>],246355,TCP,10.0.143.170,65368,104.18.36.252,443,BENIGN
[<Flag 16 (A)>],894621,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
[<Flag 24 (PA)>],894621,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
[<Flag 24 (PA)>],894621,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
[<Flag 24 (PA)>],894621,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
[<Flag 16 (A)>],894621,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
[<Flag 16 (A)>],894621,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
[<Flag 24 (PA)>],894621,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
[<Flag 24 (PA)>],894621,TCP,10.0.143.170,65364,54.235.126.25,443,BENIGN
[<Flag 16 (A)>],646563,TCP,10.0.143.170,65367,54.235.126.25,443,BENIGN
[<Flag 16 (A)>],646563,TCP,10.0.143.170,65367,54.235.126.25,443,BENIGN
[<Flag 16 (A)>],646563,TCP,10.0.143.170,65367,54.235.126.25,443,BENIGN
[<Flag 16 (A)>],646563,TCP,10.0.143.170,65367,54.235.126.25,443,BENIGN
[<Flag 16 (A)>],646563,TCP,10.0.143.170,65367,54.235.126.25,443,BENIGN
[<Flag 16 (A)>],646563,TCP,10.0.143.170,65367,54.235.126.25,443,BENIGN
[<Flag 24 (PA)>],646563,TCP,10.0.143.170,65367,54.235.126.25,443,BENIGN
[<Flag 16 (A)>],0,TCP,54.235.126.25,443,10.0.143.170,65366,BENIGN
[<Flag 16 (A)>],0,TCP,54.235.126.25,443,10.0.143.170,65366,BENIGN
[<Flag 16 (A)>],0,TCP,54.235.126.25,443,10.0.143.170,65366,BENIGN
[<Flag 16 (A)>],0,TCP,54.235.126.25,443,10.0.143.170,65366,BENIGN
[<Flag 16 (A)>],0,TCP,54.235.126.25,443,10.0.143.170,65366,BENIGN
[<Flag 16 (A)>],0,TCP,54.235.126.25,443,10.0.143.170,65366,BENIGN
[<Flag 24 (PA)>],0,TCP,54.235.126.25,443,10.0.143.170,65366,BENIGN
[<Flag 17 (FA)>],0,TCP,54.235.126.25,443,10.0.143.170,65366,BENIGN
